prompt_injection_risk,data_exposure_risk,model_access_level,guardrail_strength,external_tool_access,likelihood,business_impact
6,9,5,1,1,5,High
10,10,8,3,1,9,High
8,6,6,9,1,8,High
6,4,4,10,1,4,Low
7,1,6,8,1,7,Medium
3,8,1,3,1,2,Medium
8,2,9,8,0,3,Medium
7,3,2,8,1,6,Medium
10,7,2,6,1,6,High
8,9,1,10,0,4,Medium
5,4,2,7,0,2,Low
8,3,5,1,0,6,High
1,5,6,6,1,3,Low
4,9,7,10,0,3,Medium
3,2,10,7,0,8,Low
10,3,4,8,1,8,Medium
5,1,8,5,0,2,Low
8,6,10,5,1,5,High
8,5,4,7,1,2,Medium
4,7,10,6,1,5,High
1,7,5,1,0,10,High
8,5,4,10,1,4,Medium
4,10,5,3,0,1,High
5,8,1,10,1,3,Low
2,5,6,7,0,4,Low
3,9,6,9,1,3,Medium
5,8,5,6,0,8,Medium
2,3,4,7,1,2,Low
7,1,5,9,0,8,Low
6,5,10,7,1,2,Medium
4,8,1,10,1,10,Medium
4,2,8,5,1,2,Medium
3,1,1,5,1,2,Low
2,4,9,3,1,8,Medium
6,9,7,10,0,7,Medium
2,8,10,7,1,1,Medium
6,4,8,8,0,6,Medium
2,6,9,6,0,7,Medium
5,4,2,8,0,4,Low
10,1,1,6,0,3,Low
10,4,2,9,0,10,Medium
4,4,6,3,0,5,Medium
3,3,9,5,0,2,Low
1,3,1,6,0,10,Low
6,1,3,5,0,3,Low
7,9,2,2,1,8,High
6,9,10,2,1,9,High
4,10,1,9,1,8,Medium
1,1,8,7,1,2,Low
8,8,2,2,1,10,High
3,2,3,5,1,7,Low
10,9,5,8,1,2,High
2,9,4,7,1,4,Medium
7,6,8,7,1,2,Medium
6,7,6,5,1,3,High
8,2,2,2,0,7,Medium
2,6,3,9,0,10,Low
9,9,6,2,1,6,High
7,1,5,10,1,6,Low
2,10,9,4,0,8,High
4,2,6,9,1,2,Low
5,10,4,7,0,10,High
5,1,3,5,1,6,Low
6,1,3,3,1,2,Medium
3,1,2,9,0,7,Low
7,8,6,3,1,5,High
6,10,10,2,0,3,High
3,10,1,2,1,8,High
7,8,10,8,1,5,High
4,9,2,6,1,2,Medium
5,10,8,9,1,1,Medium
4,7,10,1,0,4,High
5,4,3,5,1,6,Medium
2,1,8,7,0,3,Low
7,9,4,9,1,2,Medium
7,1,7,1,1,2,Medium
6,10,7,10,1,7,High
5,2,7,1,1,3,Medium
10,8,6,2,1,2,High
4,7,10,7,0,7,Medium
5,6,4,6,0,2,Medium
9,2,9,9,0,6,Medium
6,3,4,2,0,5,Medium
4,3,10,3,0,3,Medium
8,8,10,10,1,10,High
10,6,6,3,1,2,High
8,8,5,5,0,6,High
9,2,5,8,1,1,Medium
1,6,5,2,0,10,Medium
10,9,7,8,0,8,High
10,4,6,10,1,9,Medium
3,1,8,2,1,2,Medium
9,3,1,4,1,8,High
9,9,10,3,1,6,High
5,7,7,6,0,6,Medium
2,6,2,9,1,5,Low
5,10,3,6,0,10,High
3,6,5,7,0,10,Medium
2,5,9,7,1,3,Medium
9,2,7,9,1,1,Medium
6,5,3,4,1,8,High
4,4,3,3,0,5,Medium
2,9,9,9,0,6,Medium
10,3,10,7,0,3,Medium
3,10,3,8,0,7,Medium
6,4,8,10,1,8,Medium
4,9,4,5,1,4,High
6,10,8,8,1,7,High
9,9,7,3,0,10,High
3,5,1,8,1,9,Low
2,9,2,5,0,3,Medium
5,8,9,3,1,2,High
4,8,6,1,1,1,High
7,9,6,4,1,2,High
6,4,1,6,0,6,Low
3,3,1,5,1,3,Low
8,8,10,1,0,1,High
5,4,3,9,1,2,Low
5,4,5,2,0,4,Medium
7,10,8,2,0,8,High
10,9,1,9,0,3,Medium
5,7,1,10,1,4,Low
10,7,3,2,1,2,High
9,9,9,9,0,7,High
8,1,7,6,1,1,Medium
6,2,6,4,0,10,Medium
6,3,1,6,1,3,Low
8,8,3,3,0,8,High
1,5,4,1,0,1,Low
6,5,9,7,1,5,Medium
1,4,5,6,0,6,Low
5,2,6,7,1,8,Medium
7,6,3,8,1,6,Medium
9,5,2,7,0,7,Medium
10,3,9,5,1,2,High
2,6,5,5,1,10,Medium
7,3,8,6,1,1,Medium
6,10,7,5,0,2,High
7,6,9,3,0,3,High
10,8,1,3,0,4,High
6,6,7,10,0,10,Medium
3,8,6,6,1,2,Medium
10,3,9,6,1,6,High
5,4,2,1,0,8,Medium
9,7,9,2,1,5,High
8,4,10,5,1,4,High
2,3,2,8,0,8,Low
2,6,6,2,1,5,Medium
3,3,6,9,0,2,Low
4,3,4,8,0,6,Low
9,10,6,8,0,10,High
2,2,5,7,1,9,Low
7,7,10,2,0,6,High
2,8,8,9,1,3,Medium
9,10,3,3,1,9,High
1,2,9,3,1,3,Medium
3,6,4,6,1,2,Medium
5,4,9,5,0,5,Medium
10,9,2,9,0,10,High
10,3,3,10,1,10,Medium
1,1,2,1,1,4,Low
10,7,10,1,1,9,High
5,5,8,4,1,5,High
8,2,1,3,1,7,Medium
8,8,4,6,0,6,High
6,6,7,3,1,9,High
9,2,6,4,1,2,Medium
5,8,4,3,0,1,Medium
5,7,10,7,0,3,Medium
6,10,6,4,0,8,High
9,8,8,5,1,1,High
2,7,9,8,0,4,Low
10,6,1,1,1,8,High
10,8,5,9,0,2,Medium
7,3,5,6,1,6,Medium
1,7,1,10,0,6,Low
9,5,2,7,1,9,High
5,10,10,2,0,2,High
7,6,6,9,1,3,Medium
4,10,9,7,0,1,Medium
1,3,6,8,1,3,Low
10,9,3,6,1,3,High
7,10,5,10,1,9,High
9,9,8,10,1,8,High
1,6,6,2,1,10,High
5,1,10,8,1,10,Medium
10,4,1,10,1,3,Medium
9,10,7,3,0,1,High
10,2,4,1,1,6,High
7,3,7,4,1,9,High
10,8,1,3,0,9,High
6,8,9,7,1,3,High
8,9,6,9,1,5,High
10,8,4,4,1,9,High
5,4,5,5,0,8,Medium
6,8,6,9,1,5,Medium
2,10,9,7,1,6,High
3,5,1,5,0,6,Low
8,5,8,4,0,9,High
5,9,5,3,0,10,High
10,4,4,1,0,4,High
1,2,7,6,1,2,Low
3,1,9,3,1,8,Medium
8,4,5,6,1,1,Medium
2,10,4,9,0,3,Low
7,3,1,7,1,3,Low
5,1,1,5,0,6,Low
5,8,9,9,1,3,Medium
9,8,5,4,0,6,High
3,8,5,3,0,6,Medium
5,10,4,3,1,7,High
9,6,2,7,0,3,Medium
3,8,6,4,0,5,Medium
7,4,8,5,1,5,High
10,10,1,5,1,4,High
1,2,8,5,0,7,Low
9,5,2,5,1,10,High
4,4,3,8,0,8,Low
10,6,7,9,1,9,High
4,4,10,2,1,9,High
6,2,10,2,0,9,High
9,4,10,9,0,3,Medium
6,9,8,2,0,10,High
8,2,9,8,0,8,Medium
3,9,7,8,0,9,Medium
8,5,1,7,1,1,Medium
4,10,2,1,1,6,High
2,9,1,2,1,1,Medium
5,7,3,3,1,6,High
7,8,7,7,0,9,High
3,6,2,3,1,9,Medium
3,4,1,1,1,8,Medium
9,7,9,7,0,4,High
8,6,3,5,0,2,Medium
1,7,10,1,0,4,High
2,2,10,1,1,10,High
1,4,1,7,1,4,Low
9,4,1,3,1,4,High
10,6,10,10,1,4,High
5,3,9,4,1,5,Medium
5,1,9,10,0,7,Low
9,8,1,6,1,9,High
6,7,7,3,1,7,High
3,9,8,4,0,5,High
3,8,1,9,1,7,Medium
9,9,3,7,0,5,High
4,6,2,8,1,2,Low
9,4,1,5,1,10,High
10,1,2,4,0,8,Medium
4,6,5,1,0,4,Medium
2,8,4,10,0,7,Low
4,9,6,5,1,8,High
9,6,5,5,1,9,High
8,8,2,8,1,4,Medium
6,6,7,1,0,3,High
1,5,9,10,1,5,Low
3,4,6,4,1,10,Medium
4,8,9,6,1,8,High
8,8,3,6,0,3,Medium
9,8,3,9,0,9,High
1,2,1,1,1,3,Low
4,2,3,1,0,9,Medium
8,6,1,10,1,8,Medium
1,1,9,9,1,1,Low
1,9,5,9,1,1,Low
9,7,3,2,0,9,High
3,4,4,10,1,6,Low
5,7,2,6,1,8,Medium
10,4,4,5,0,1,Medium
2,7,7,7,1,1,Medium
1,3,2,8,1,6,Low
10,2,9,1,0,4,High
10,8,5,1,0,5,High
9,10,1,3,1,1,High
4,10,3,7,0,5,Medium
3,10,4,10,1,9,Medium
6,7,3,2,1,1,High
2,7,4,2,1,10,High
10,10,7,6,0,5,High
8,8,4,6,1,7,High
3,10,7,2,1,4,High
2,2,5,3,1,3,Low
7,6,6,2,0,1,High
5,8,6,5,0,3,Medium
2,3,7,8,1,2,Low
1,2,6,9,0,10,Low
10,6,7,1,1,7,High
7,2,9,4,0,7,Medium
3,3,5,5,1,8,Medium
3,2,3,7,1,7,Low
5,8,2,6,1,4,Medium
8,10,10,4,1,2,High
3,5,1,7,1,10,Medium
7,6,8,6,1,10,High
3,5,6,10,0,8,Low
6,3,7,6,1,8,Medium
10,4,6,7,1,7,High
6,2,10,4,0,9,Medium
1,8,4,8,1,2,Low
7,8,3,5,0,5,High
3,7,7,2,1,10,High
8,10,7,9,1,9,High
1,6,9,10,0,2,Low
4,6,3,10,0,10,Low
7,6,7,2,0,2,High
5,4,9,9,0,8,Medium
6,7,8,10,0,6,Medium
1,8,2,5,1,2,Medium
2,3,6,5,1,8,Medium
4,9,8,6,1,2,High
8,8,6,2,1,1,High
2,1,6,2,0,4,Low
9,3,9,3,1,9,High
7,8,4,7,0,3,Medium
7,7,1,10,0,8,Medium
10,7,7,1,0,4,High
5,2,10,2,0,6,Medium
6,4,8,2,1,8,High
9,6,10,7,1,10,High
2,6,6,8,0,5,Low
10,10,2,3,1,2,High
4,5,2,3,1,3,Medium
9,7,7,10,0,10,High
7,7,3,8,0,9,Medium
3,8,5,3,0,6,Medium
8,10,1,6,0,8,High
3,4,7,9,1,7,Low
8,7,8,8,0,2,Medium
10,1,4,5,0,5,Medium
4,9,5,3,1,10,High
8,9,9,2,0,5,High
9,6,9,1,1,9,High
4,7,2,4,1,1,Medium
8,5,6,2,1,2,High
4,4,10,6,1,3,Medium
10,3,4,4,0,10,High
6,9,5,10,0,6,Medium
5,5,10,5,0,3,Medium
7,1,5,3,0,4,Medium
3,6,4,7,1,3,Low
10,5,7,7,1,2,High
2,7,9,5,1,8,High
8,6,10,1,0,8,High
6,2,9,7,0,7,Medium
4,8,5,6,1,6,Medium
9,10,3,10,1,6,High
1,1,2,8,0,2,Low
3,8,8,1,1,4,High
3,5,3,5,0,6,Low
5,2,6,3,0,7,Medium
5,4,7,2,0,1,Medium
4,8,2,3,0,9,High
8,1,1,6,0,7,Low
3,8,2,4,1,2,Medium
2,2,6,6,1,3,Low
7,3,3,2,0,10,High
3,8,6,4,0,7,Medium
10,8,4,2,0,3,High
2,10,7,6,1,6,High
3,4,5,2,0,9,Medium
10,10,10,5,0,5,High
4,9,10,9,0,7,Medium
5,1,4,8,1,2,Low
4,8,10,2,0,6,High
6,3,7,10,1,6,Low
9,3,8,2,0,10,High
2,1,5,4,0,1,Low
7,9,5,9,1,7,High
7,2,9,9,0,5,Low
2,5,2,9,0,3,Low
9,6,7,10,0,5,Medium
7,4,1,4,0,7,Medium
2,8,10,10,0,5,Low
3,2,1,3,0,3,Low
8,6,9,9,1,3,Medium
6,3,5,2,0,6,Medium
7,5,9,2,1,10,High
2,8,8,9,1,1,Low
8,10,3,6,0,5,High
2,10,2,4,0,1,Medium
1,4,1,8,1,7,Low
3,3,1,9,1,4,Low
6,4,7,6,1,2,Medium
10,6,2,9,0,3,Medium
4,9,1,7,0,8,Medium
5,5,6,2,1,1,Medium
6,4,5,10,1,10,Medium
4,8,6,10,1,4,Medium
9,4,3,1,1,1,High
4,9,6,1,1,1,High
7,5,2,4,0,7,Medium
8,1,3,5,0,1,Low
4,9,7,6,1,2,Medium
10,2,9,3,1,2,High
10,10,1,7,0,4,High
5,5,6,7,1,6,Medium
8,5,4,2,0,3,High
10,2,3,2,0,8,High
8,6,7,2,1,4,High
8,5,8,5,0,2,Medium
3,5,10,1,0,6,High
3,2,4,6,1,9,Low
1,5,5,3,0,7,Medium
8,9,9,4,0,8,High
2,3,2,1,0,4,Low
3,4,7,6,0,10,Medium
10,5,2,1,0,4,High
8,3,2,6,0,1,Low
8,1,3,10,1,7,Low
8,1,7,7,0,6,Medium
4,3,5,5,1,3,Medium
1,10,10,10,0,5,Medium
8,7,9,8,0,2,Medium
5,7,3,7,0,9,Medium
4,9,1,7,1,8,Medium
9,8,6,10,1,7,High
5,3,1,6,0,1,Low
5,1,8,9,1,10,Medium
4,3,2,4,0,5,Low
9,1,4,10,1,6,Low
3,3,4,10,1,6,Low
10,1,6,10,0,10,Medium
4,8,9,5,0,8,High
1,2,1,4,0,1,Low
9,8,1,6,0,3,Medium
6,3,6,1,0,3,Medium
10,3,2,9,1,2,Medium
6,7,10,2,1,5,High
6,3,3,7,1,6,Medium
3,9,10,6,0,10,High
3,7,5,5,0,3,Medium
1,10,7,10,0,3,Low
10,6,10,4,0,8,High
3,6,2,4,1,6,Medium
3,2,6,8,0,5,Low
4,4,2,6,1,2,Low
1,1,7,8,1,3,Low
7,8,7,6,1,2,High
8,10,4,3,1,2,High
1,5,1,6,1,2,Low
2,6,3,7,0,2,Low
9,2,6,10,1,1,Low
7,3,10,7,0,1,Medium
2,6,4,4,1,9,Medium
9,5,5,5,0,2,Medium
1,7,10,9,1,3,Low
1,6,1,7,0,5,Low
10,8,4,2,0,4,High
3,5,2,8,0,5,Low
7,8,8,5,0,9,High
7,3,6,7,1,3,Medium
8,1,5,8,1,5,Medium
4,5,10,1,0,2,High
2,6,9,7,0,9,Medium
1,7,9,7,1,10,Medium
4,8,5,2,1,1,High
9,10,9,10,0,2,High
8,3,3,4,0,3,Medium
1,7,2,7,0,3,Low
10,5,6,2,0,7,High
9,7,9,6,1,9,High
8,1,10,10,1,2,Low
7,3,3,10,0,2,Low
10,2,5,9,1,7,Medium
5,7,8,10,1,1,Medium
3,5,7,3,1,1,Medium
7,6,4,1,1,5,High
6,1,6,5,1,5,Medium
8,2,4,3,1,8,High
6,5,7,10,0,4,Low
8,4,7,8,1,1,Medium
9,3,2,5,1,3,Medium
9,10,1,3,0,4,High
1,4,1,8,0,6,Low
4,5,6,8,1,2,Low
1,4,6,8,1,3,Low
8,10,9,6,1,3,High
5,2,5,1,1,1,Medium
3,10,4,4,0,4,Medium
5,7,9,1,0,8,High
3,3,10,1,0,5,Medium
10,5,5,7,1,6,High
8,5,4,8,1,9,Medium
10,7,10,2,0,9,High
6,9,10,10,1,5,High
2,8,2,6,1,6,Medium
5,5,5,4,0,9,Medium
4,1,10,7,1,3,Low
1,8,5,5,1,7,Medium
7,1,10,10,0,6,Low
4,9,8,6,1,3,High
9,3,5,2,1,3,High
5,9,3,6,0,4,Medium
6,4,5,7,1,6,Medium
5,10,5,8,0,8,Medium
1,10,10,10,0,8,Medium
4,9,2,7,1,7,Medium
1,3,3,4,1,7,Low
10,8,3,6,0,2,High
8,6,3,6,0,1,Medium
8,5,4,3,0,8,High
2,3,10,7,1,7,Medium
7,8,7,1,0,9,High
4,6,1,6,0,1,Low
1,4,4,6,1,3,Low
2,7,9,10,1,3,Low
2,1,5,5,1,9,Low
10,9,6,7,0,6,High
8,6,4,3,1,1,High
4,4,3,4,0,10,Medium
9,3,2,6,0,7,Medium
5,9,10,1,0,2,High
1,1,2,7,1,7,Low
2,9,5,8,0,4,Low
1,5,7,2,1,10,High
10,3,7,2,0,5,High
2,2,8,4,0,5,Low
9,4,6,7,1,3,Medium
1,9,8,4,1,6,High
4,1,1,2,0,10,Medium
8,3,2,9,0,2,Low
5,4,8,5,1,8,High
1,2,3,1,1,6,Medium
6,7,2,2,0,1,Medium
3,3,6,6,1,10,Medium
5,2,6,6,0,2,Low
7,7,8,5,1,8,High
7,3,2,3,0,3,Medium
2,7,10,8,1,3,Medium
10,7,6,10,0,3,Medium
8,8,2,7,1,1,Medium
2,5,6,1,0,6,Medium
9,9,10,2,1,4,High
8,6,7,3,0,1,High
3,9,8,8,0,2,Medium
8,6,4,6,1,1,Medium
9,4,9,7,1,4,High
2,8,8,10,1,2,Low
8,8,6,2,1,1,High
2,7,7,1,0,2,Medium
10,10,5,9,0,8,High
6,6,1,4,1,6,Medium
9,10,10,8,1,8,High
2,2,4,1,1,6,Medium
5,9,9,6,0,1,Medium
3,8,3,7,0,5,Medium
10,4,4,2,1,4,High
8,4,6,2,1,1,High
10,2,8,8,0,8,Medium
1,9,1,9,1,10,Medium
8,9,3,10,0,3,Medium
2,7,10,10,1,9,Medium
7,7,10,4,1,7,High
6,5,8,3,0,7,High
10,9,5,9,1,9,High
4,4,4,10,1,6,Low
3,3,9,9,1,2,Low
6,9,8,10,1,9,High
5,7,1,9,0,1,Low
7,3,1,1,0,5,Medium
3,5,5,3,0,5,Medium
4,9,1,6,1,2,Medium
10,9,4,9,1,4,High
9,5,1,7,1,7,Medium
6,9,1,1,1,4,High
10,8,4,6,0,4,High
5,8,3,2,0,3,High
9,2,7,1,1,5,High
9,5,3,3,1,1,High
6,8,3,1,0,6,High
10,1,10,5,1,10,High
9,6,2,6,0,3,Medium
9,2,9,3,1,9,High
9,7,2,6,0,4,Medium
6,6,6,5,0,10,High
9,8,9,1,0,6,High
8,4,10,10,0,1,Low
6,7,2,7,1,9,Medium
5,1,9,6,1,8,Medium
1,5,4,6,0,2,Low
3,9,9,1,0,4,High
4,7,2,4,1,2,Medium
3,1,8,6,0,2,Low
2,1,3,5,0,10,Low
4,5,7,7,1,7,Medium
7,6,1,7,0,9,Medium
1,10,2,10,0,2,Low
6,9,2,5,1,10,High
2,5,8,7,1,1,Low
8,3,9,4,0,7,High
9,5,3,5,1,1,Medium
9,9,3,2,0,1,High
10,10,7,9,0,5,High
4,6,4,7,0,3,Low
3,4,10,5,0,2,Medium
3,10,1,9,1,9,Medium
2,5,2,5,0,4,Low
10,8,6,6,0,4,High
2,5,10,2,0,6,Medium
8,8,6,10,1,10,High
3,10,10,6,1,7,High
3,1,6,4,0,7,Low
5,6,3,6,1,8,Medium
8,6,5,8,0,3,Medium
10,2,5,3,0,5,High
2,2,1,9,0,10,Low
10,7,10,4,0,9,High
5,9,9,8,0,6,Medium
7,4,10,5,0,8,High
9,9,2,7,1,9,High
1,4,10,3,0,8,Medium
3,3,10,10,0,8,Low
6,1,4,8,0,2,Low
5,6,4,1,0,9,High
6,7,8,8,0,1,Medium
6,2,9,5,1,10,High
9,10,3,7,1,6,High
10,2,9,5,1,4,High
9,7,6,6,1,8,High
10,1,9,3,1,3,High
4,2,9,5,0,3,Low
3,3,6,10,0,4,Low
7,6,2,8,1,8,Medium
4,10,3,7,0,4,Medium
1,3,10,10,0,3,Low
9,1,10,3,0,3,Medium
5,3,9,7,0,5,Medium
2,4,8,10,1,8,Low
3,4,7,10,0,10,Low
3,10,9,5,0,6,High
8,10,10,2,0,7,High
7,3,2,1,0,9,High
9,7,3,10,0,3,Medium
8,10,10,1,0,2,High
8,3,10,9,0,7,Medium
9,7,6,1,1,4,High
8,7,6,10,0,7,Medium
3,5,8,4,0,5,Medium
10,9,7,5,0,1,High
1,10,9,2,0,7,High
4,6,7,6,0,3,Medium
7,10,5,5,1,10,High
6,10,5,7,0,7,High
9,9,8,3,1,9,High
9,8,5,5,1,7,High
3,2,4,8,0,2,Low
4,9,7,6,0,3,Medium
7,1,2,3,1,10,Medium
7,2,2,5,0,6,Medium
2,10,1,7,1,10,Medium
9,5,10,1,0,8,High
8,1,4,9,1,4,Low
1,10,9,9,0,10,Medium
3,1,6,4,0,3,Low
2,5,7,6,1,7,Medium
10,4,9,1,0,2,High
9,5,9,10,1,6,Medium
5,4,10,4,1,7,High
10,1,5,3,1,9,High
2,9,2,9,1,6,Medium
2,9,5,9,1,8,Medium
7,10,8,4,1,8,High
8,10,1,8,0,5,Medium
2,7,4,4,1,7,Medium
6,9,9,1,1,4,High
5,2,7,6,0,9,Medium
3,8,6,6,0,10,Medium
5,3,4,8,0,4,Low
4,5,4,4,0,4,Medium
10,6,3,2,0,2,High
8,10,1,9,0,8,Medium
6,10,6,8,1,8,High
3,9,5,7,0,10,Medium
3,1,9,7,1,9,Medium
1,9,6,7,0,8,Medium
2,9,8,6,0,1,Medium
4,7,10,2,1,6,High
10,5,3,9,1,4,Medium
5,8,10,6,1,3,High
8,7,4,7,1,6,High
7,5,8,3,0,10,High
4,2,5,4,1,7,Medium
4,3,3,8,0,3,Low
7,8,3,9,1,8,Medium
5,5,9,10,0,7,Medium
2,3,1,4,1,8,Low
2,8,6,5,1,6,Medium
9,9,5,6,0,7,High
2,6,10,4,0,5,Medium
6,6,9,8,1,2,Medium
7,10,5,8,0,3,Medium
6,7,10,10,1,2,Medium
2,3,6,4,1,6,Medium
5,5,10,7,1,8,High
6,10,9,8,1,3,High
3,1,3,4,1,2,Low
4,3,7,2,0,2,Medium
8,9,1,1,1,9,High
2,2,5,10,0,2,Low
7,5,4,4,1,8,High
3,3,9,3,0,1,Medium
6,6,8,8,1,9,High
8,3,9,3,1,10,High
7,9,9,5,1,8,High
9,4,2,8,1,6,Medium
7,5,3,5,0,1,Medium
9,3,6,5,1,9,High
1,8,8,5,0,7,Medium
5,10,4,1,1,4,High
7,9,7,7,0,3,High
7,7,4,5,0,7,High
4,9,10,5,1,9,High
5,7,4,2,0,3,Medium
5,2,8,10,1,5,Low
10,8,4,6,0,3,High
1,9,1,3,0,5,Medium
5,3,8,1,0,2,Medium
3,1,8,4,1,7,Medium
5,8,6,8,0,6,Medium
2,3,1,5,1,2,Low
9,8,3,4,1,7,High
1,2,4,7,1,4,Low
1,4,8,2,0,8,Medium
7,5,6,3,0,9,High
9,2,5,8,1,4,Medium
6,1,4,2,0,7,Medium
6,1,3,5,0,7,Low
4,1,1,10,1,10,Low
3,6,2,4,0,8,Medium
2,10,6,1,0,6,High
3,9,2,3,1,4,High
6,9,6,8,0,1,Medium
7,6,3,5,0,8,Medium
8,9,5,9,1,4,High
10,3,9,6,1,8,High
5,10,9,3,0,9,High
3,8,5,5,1,8,High
1,9,7,3,0,10,High
6,10,4,6,0,9,High
7,4,9,8,0,10,Medium
5,6,7,6,0,2,Medium
9,2,1,3,0,1,Medium
4,2,8,4,0,1,Low
10,7,8,9,1,1,High
6,4,10,2,0,4,High
8,2,8,1,1,9,High
7,6,1,10,1,9,Medium
1,2,5,2,0,9,Medium
2,2,4,9,1,4,Low
4,9,4,10,0,9,Medium
9,7,2,10,1,8,Medium
7,2,3,3,1,9,High
6,3,9,10,1,6,Medium
6,9,6,6,1,7,High
6,10,4,10,0,7,Medium
9,5,6,8,1,7,High
1,1,5,10,0,9,Low
3,5,1,5,0,4,Low
6,1,5,9,0,2,Low
1,8,6,3,0,5,Medium
6,10,4,4,1,5,High
2,10,7,10,0,2,Low
6,8,3,8,0,10,Medium
5,1,10,7,0,1,Low
6,6,7,7,0,4,Medium
10,1,7,1,1,9,High
